Panel,Dispensary Name,Month,Leads,Activations
CGHS,Sriniwas Puri (D-37),3,6,3
CGHS,Sriniwas Puri (D-37),4,4,2
CGHS,SubziMandi (D-6),3,12,4
CGHS,SubziMandi (D-6),4,8,4
CGHS,Sunder Vihar (D-82),3,6,2
CGHS,Sunder Vihar (D-82),4,11,5
CGHS,Telegraph Lane (D-34),3,4,1
CGHS,Telegraph Lane (D-34),4,14,3
CGHS,Tilak Nagar (D-26),3,15,4
CGHS,Tilak Nagar (D-26),4,22,2
CGHS,Timarpur (D-7),3,5,2
CGHS,Timarpur (D-7),4,10,3
CGHS,Tri Nagar (D-64),3,13,1
CGHS,Tri Nagar (D-64),4,12,3
CGHS,VIVEK Vihar (D-79),3,14,1
CGHS,VIVEK Vihar (D-79),4,21,2
CGHS,Vasant Kunj (D-91),3,10,3
CGHS,Vasant Kunj (D-91),4,22,2
CGHS,Vasant Vihar (D-96),3,1,1
CGHS,Vikaspuri (D-17A),3,6,2
CGHS,Vikaspuri (D-17A),4,2,1
CGHS,Yamuna Vihar (D-84),3,16,2
CGHS,Yamuna Vihar (D-84),4,19,2
CGHS,Zila Sainik Board (Faridabad-II) (D-104),3,9,3
Chemist,"Apna Chemist, Defence Colony Market",4,1,1
Delhi Jal Board,Aram Bagh Dispensary,4,1,2
Delhi Jal Board,Chandrawal Dispensary,4,1,2
Delhi Jal Board,Gokalpuri Dispensary,3,4,3
Delhi Jal Board,Gokalpuri Dispensary,4,12,1
Delhi Jal Board,Haiderpur Dispensary,4,1,3
Delhi Jal Board,Keshopur Dispensary,4,1,3
Delhi Jal Board,Kondli Dispensary,4,10,2
Delhi Jal Board,Okhla Dispensary,4,1,3
Delhi Jal Board,Rohini Sec 5 Dispensary,3,6,1
Delhi Jal Board,Rohini Sec 5 Dispensary,4,2,5
Delhi Jal Board,Shahdra Dispensary,3,8,2
Delhi Jal Board,Shahdra Dispensary,4,23,2
Delhi Jal Board,Wazirabad Dispensary,3,9,1
Delhi Jal Board,Wazirabad Dispensary,4,9,4
ECHS,Pragati Vihar Lodi Road,3,7,3
ECHS,Pragati Vihar Lodi Road,4,8,1
