id,ad_group_id,ad_group_name,campaign_id,campaign_name,match_type,keyword,clicks,conversions,cost,impressions,ctr,average_cpm,interactions,created_at,updated_at,created_by,updated_by
1,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back injury,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
2,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain specialist,0,0.0,0,17,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
3,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back pain,1,0.0,132,38,0.02631578947368421,3482368421.0526314,1,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
4,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee replacement,1,0.0,155,12,0.08333333333333333,12950000000.0,1,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
5,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,lower back pain relief,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
6,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back pain relief,0,0.0,0,1,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
7,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,lower back pain,0,0.0,0,2,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
8,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back problems,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
9,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back clinic,1,0.0,65,12,0.08333333333333333,5452500000.0,1,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
10,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,lumbar pain,0,0.0,0,2,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
11,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,spinal pain,1,0.0,73,16,0.0625,4538750000.0,1,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
12,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee surgery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
13,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,lower back pain treatment,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
14,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain management,15,0.0,1426,283,0.053003533568904596,5039010600.706715,15,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
15,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,backache,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
16,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee replacement operation,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
17,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee replacement surgery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
18,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain doctor,7,0.0,504,56,0.125,9007142857.142857,7,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
19,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain center,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
20,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain clinic,1,0.0,97,17,0.058823529411764705,5708823529.411765,1,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
21,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain doctors,0,0.0,0,1,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
22,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,orthopedic surgeon,12,0.0,887,192,0.0625,4619791666.666667,12,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
23,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back pain therapy,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
24,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,lower right back pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
25,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,upper back pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
26,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee joint,0,0.0,0,2,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
27,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,joint replacement,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
28,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back pain treatment,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
29,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,lower left back pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
30,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,chronic back pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
31,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,middle back pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
32,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,lower back,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
33,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,bad back,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
34,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,total knee replacement,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
35,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,shoulder surgery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
36,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,lower back muscle pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
37,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,spine problems,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
38,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,backache treatment,8,0.0,736,96,0.08333333333333333,7665937500.0,8,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
39,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain management center,0,0.0,0,1,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
40,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain management clinic,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
41,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain management specialist,1,0.0,84,40,0.025,2102500000.0,1,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
42,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee specialist,0,0.0,0,2,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
43,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,spine clinic,0,0.0,0,20,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
44,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,total knee replacement surgery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
45,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back pain clinic,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
46,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee surgery recovery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
47,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee doctor,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
48,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee arthroplasty,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
49,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back bone pain,0,0.0,0,1,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
50,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,pain management doctors,0,0.0,0,13,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
51,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,for back pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
52,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,partial knee replacement surgery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
53,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,surgeon doctor,0,0.0,0,8,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
54,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee reconstruction surgery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
55,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,back doctor,2,0.0,125,6,0.3333333333333333,20786666666.666668,2,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
56,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,knee revision surgery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
57,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,doctor surgery,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
58,143820855781,Pain Keywords,19818715892,PM_Search_Gurugram_Mar 2023,BROAD,spinal cord pain,0,0.0,0,0,0.0,0.0,0,2024-03-21,2024-03-21,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript
