id,account_id,account_name,ad_group_id,ad_id,ad_group_name,campaign_resource_name,campaign_id,campaign_name,campaign_start_date,campaign_end_date,clicks,conversions,cost,impressions,ctr,cost_per_conversion,average_cost,average_cpc,conversions_from_interactions_rate,created_at,updated_at,created_by,updated_by,campaign_date,load_source_key
13,1580734935,Nivaancare,157429857117,686713078457,Physiotherapy,customers/1580734935/campaigns/20920694635,20920694635,BI_Search_Treatments_Jan24,2024-01-04,2037-12-30,48,2.5,1565.0,1108,0.04332129963898917,625942428.8,32601168.166666668,32601168.166666668,0.052083333333333336,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~157429857117~686713078457~20920694635~2024-03-15
14,1580734935,Nivaancare,157713665655,686424792367,Knee_Surgery,customers/1580734935/campaigns/20904316257,20904316257,BI_Search_KneePain_Jan24,2024-01-02,2037-12-30,59,2.0,1554.0,996,0.05923694779116466,776820000.0,26332881.355932202,26332881.355932202,0.03389830508474576,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~157713665655~686424792367~20904316257~2024-03-15
15,1580734935,Nivaancare,158150928912,687332348108,Neck_Generic,customers/1580734935/campaigns/20936133541,20936133541,BI_Search_NeckPain_Jan24,2024-01-10,2037-12-30,10,1.0,226.0,224,0.044642857142857144,226250000.0,22625000.0,22625000.0,0.1,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~158150928912~687332348108~20936133541~2024-03-15
16,1580734935,Nivaancare,158150928952,687332348117,Cervical,customers/1580734935/campaigns/20936133541,20936133541,BI_Search_NeckPain_Jan24,2024-01-10,2037-12-30,31,4.0,1259.0,704,0.04403409090909091,314834616.0,40623821.41935484,40623821.41935484,0.12903225806451613,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~158150928952~687332348117~20936133541~2024-03-15
17,1580734935,Nivaancare,158307778454,692680126960,Arthoscopy,customers/1580734935/campaigns/20817087051,20817087051,BI_Search_MISS_Nov23,2023-12-01,2037-12-30,7,0.0,305.0,277,0.02527075812274368,0.0,43554285.71428572,43554285.71428572,0.0,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~158307778454~692680126960~20817087051~2024-03-15
18,1580734935,Nivaancare,158400650098,686470419527,Knee_Doctor,customers/1580734935/campaigns/20904316257,20904316257,BI_Search_KneePain_Jan24,2024-01-02,2037-12-30,12,0.0,509.0,250,0.048,0.0,42446922.0,42446922.0,0.0,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~158400650098~686470419527~20904316257~2024-03-15
19,1580734935,Nivaancare,158796993993,686466812399,Knee_Generic,customers/1580734935/campaigns/20904316257,20904316257,BI_Search_KneePain_Jan24,2024-01-02,2037-12-30,101,0.0,556.0,3677,0.027468044601577372,0.0,5501683.168316832,5501683.168316832,0.0,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~158796993993~686466812399~20904316257~2024-03-15
20,1580734935,Nivaancare,159134376202,687022840544,Spine_Clinic,customers/1580734935/campaigns/20912750595,20912750595,BI_Search_BackPain_Jan24,2024-01-05,2037-12-30,18,2.0,580.0,381,0.047244094488188976,289999684.0,32222187.111111112,32222187.111111112,0.1111111111111111,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~159134376202~687022840544~20912750595~2024-03-15
21,1580734935,Nivaancare,159197513950,679665987269,Nerve_Block_Treatment_Broad,customers/1580734935/campaigns/20749016131,20749016131,BI_Search_NerveBlock_Nov23,2023-11-04,2037-12-30,11,0.0,386.0,221,0.049773755656108594,0.0,35054545.45454545,35054545.45454545,0.0,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~159197513950~679665987269~20749016131~2024-03-15
22,1580734935,Nivaancare,160244070409,686696469579,Back_Surgery,customers/1580734935/campaigns/20912750595,20912750595,BI_Search_BackPain_Jan24,2024-01-05,2037-12-30,19,0.0,410.0,366,0.05191256830601093,0.0,21586255.157894738,21586255.157894738,0.0,2024-03-15,2024-04-07,GoogleAdsAPI-PythonScript,GoogleAdsAPI-PythonScript,2024-03-15,1580734935~160244070409~686696469579~20912750595~2024-03-15
